symbol,time_period_years,sma_period,data_points,total_return,annualized_return,market_total_return,market_annualized_return,volatility,market_volatility,sharpe_ratio,max_drawdown,win_rate,num_trades,final_portfolio_value
BTC/USDT,8,100,8725,79.22978628773566,0.733900795456637,25.279602941615725,0.5072476500902636,0.46746224586419216,0.691261314731772,1.5699680604149815,-0.6698593972856407,0.5206770944932505,338,802297.8628773566
BTC/USDT,8,101,8725,89.6819864561284,0.760758743064897,25.279602941615725,0.5072476500902636,0.4669225941725902,0.691261314731772,1.6293037701741526,-0.6557348132394131,0.5216831258050666,338,906819.864561284
BTC/USDT,8,102,8725,81.04879744298411,0.7387868266863531,25.279602941615725,0.5072476500902636,0.4670135851306147,0.691261314731772,1.5819386206500368,-0.6743709100822926,0.5209182578845741,348,820487.9744298412
BTC/USDT,8,103,8725,86.31491948863872,0.7524163901847585,25.279602941615725,0.5072476500902636,0.46676310839226565,0.691261314731772,1.6119877013768429,-0.6690132298855126,0.5218696397941681,340,873149.1948863872
BTC/USDT,8,104,8725,96.40992098141942,0.7766470415947737,25.279602941615725,0.5072476500902636,0.4666891794906107,0.691261314731772,1.664163378380619,-0.6616738732043366,0.5225225225225225,328,974099.2098141941
BTC/USDT,8,105,8725,99.25052149561485,0.7830684986817116,25.279602941615725,0.5072476500902636,0.46751379872170173,0.691261314731772,1.6749633932149477,-0.642906028338855,0.5226055281765588,326,1002505.2149561485
BTC/USDT,8,106,8725,102.3723163811855,0.7899446345204504,25.279602941615725,0.5072476500902636,0.4685149675831477,0.691261314731772,1.6860606152998907,-0.6755836823500523,0.5224550898203593,324,1033723.163811855
BTC/USDT,8,107,8725,96.90155742607735,0.7777700527128824,25.279602941615725,0.5072476500902636,0.4686041352267163,0.691261314731772,1.659759259991566,-0.6712390863265577,0.522008547008547,322,979015.5742607735
BTC/USDT,8,108,8725,100.73091306627617,0.7863522405505781,25.279602941615725,0.5072476500902636,0.4677851404680554,0.691261314731772,1.6810115852841574,-0.6876727196142999,0.5221295702373316,318,1017309.1306627617
BTC/USDT,8,109,8725,88.19019762357037,0.7570966482047621,25.279602941615725,0.5072476500902636,0.46662857581257405,0.691261314731772,1.622482392738968,-0.6972753695510764,0.5216645216645217,320,891901.9762357037
BTC/USDT,8,110,8725,88.22283965520573,0.7571773502759722,25.279602941615725,0.5072476500902636,0.46667968139374194,0.691261314731772,1.6224776446548028,-0.6967049535727403,0.5220098776036075,316,892228.3965520574
BTC/USDT,8,111,8725,92.4154803103413,0.7673344161155202,25.279602941615725,0.5072476500902636,0.46626497279762935,0.691261314731772,1.6457046119322425,-0.708360171698168,0.5220098776036075,310,934154.803103413
BTC/USDT,8,112,8725,78.31552580836853,0.7314083192502288,25.279602941615725,0.5072476500902636,0.469748314100171,0.691261314731772,1.5570217014004235,-0.731889811702051,0.5214224507283634,306,793155.2580836853
BTC/USDT,8,113,8725,77.73013657745975,0.7297991926937877,25.279602941615725,0.5072476500902636,0.4697143704646384,0.691261314731772,1.5537084632345293,-0.7364682063128045,0.521729822307857,304,787301.3657745975
BTC/USDT,8,114,8725,82.55042385466027,0.7427494675484472,25.279602941615725,0.5072476500902636,0.47039372470412405,0.691261314731772,1.5789952725573324,-0.7203864174627188,0.5216459494213459,298,835504.2385466027
BTC/USDT,8,115,8725,87.87987641342056,0.7563281372250896,25.279602941615725,0.5072476500902636,0.4705141859657896,0.691261314731772,1.6074502316495112,-0.7202543781950924,0.5222793487574978,297,888798.7641342056
BTC/USDT,8,116,8725,103.43115136268158,0.7922356345213872,25.279602941615725,0.5072476500902636,0.47352077709318074,0.691261314731772,1.6730747051580566,-0.7190084597540971,0.5225958449346755,293,1044311.5136268158
BTC/USDT,8,117,8725,112.77396379236521,0.8116149915657511,25.279602941615725,0.5072476500902636,0.47261085073651593,0.691261314731772,1.7173007989573912,-0.6864271375451216,0.5225128644939966,295,1137739.637923652
BTC/USDT,8,118,8725,123.00189416861578,0.8312952494735844,25.279602941615725,0.5072476500902636,0.4724905889722427,0.691261314731772,1.7593900680261385,-0.6808336897535647,0.5228786251342642,283,1240018.9416861578
BTC/USDT,8,119,8725,126.24370452294495,0.8372368527711922,25.279602941615725,0.5072476500902636,0.47262517255935976,0.691261314731772,1.7714605598288118,-0.6859330592007833,0.5235028976175145,281,1272437.0452294496
BTC/USDT,8,120,8725,142.97132778057568,0.865940451387696,25.279602941615725,0.5072476500902636,0.47348814590286836,0.691261314731772,1.8288534969264798,-0.6606463306528082,0.5243405532918722,275,1439713.2778057568
BTC/USDT,8,121,8725,121.52281662554687,0.8285391460481026,25.279602941615725,0.5072476500902636,0.474790814105588,0.691261314731772,1.745061449027624,-0.7006292958417487,0.5244530244530244,271,1225228.1662554687
BTC/USDT,8,122,8725,117.13318032721132,0.8201846796367525,25.279602941615725,0.5072476500902636,0.4746123255055226,0.691261314731772,1.7281150015713376,-0.711664064115869,0.5240549828178694,279,1181331.8032721132
BTC/USDT,8,123,8725,111.3069445955479,0.8086663723334158,25.279602941615725,0.5072476500902636,0.47475335905702193,0.691261314731772,1.703339969915385,-0.7135784824605355,0.5240549828178694,279,1123069.445955479
BTC/USDT,8,124,8725,110.44291710033576,0.8069139314107798,25.279602941615725,0.5072476500902636,0.4744357045787873,0.691261314731772,1.7007866895835184,-0.7062680716040034,0.5238504512247529,281,1114429.1710033575
