timeframe,data_points,actual_days,fast_period,slow_period,signal_period,total_return,buy_hold_return,total_trades,win_rate,final_capital
4h,10950,1824,6.0,27.0,13.0,631.8732398976141,1076.0062897862645,464,37.5,73187.32398976141
8h,5475,1824,13.0,23.0,14.0,1401.548623646824,1073.9908128195937,174,41.37931034482759,150154.8623646824
1d,1825,1824,19.0,22.0,9.0,908.0982015743788,1068.0125835186911,55,47.27272727272727,100809.82015743788
1w,261,1820,6.0,20.0,6.0,2451.1007861326348,1077.6322919234356,11,72.72727272727273,255110.07861326347
1M,60,1795,19.0,29.0,12.0,1208.351131452166,830.923532406084,1,100.0,130835.11314521662
