signal_type,entry_time,exit_time,entry_price,exit_price,extreme_price,max_gain_pct,max_drop_pct,final_return_pct,duration_to_extreme,holding_period_duration,waiting_period_duration,macd_value,signal_value,histogram_value
BUY,2020-07-10 12:00:00,2020-07-11 08:00:00,9245.92,9200.37,9288.34,0.45879696125426217,,-0.4926497309083279,2,5.0,,5.472314814815036,2.946631054131173,2.525683760683863
SELL,2020-07-11 08:00:00,2020-07-12 00:00:00,9200.37,9272.47,9200.37,,0.0,-0.7836641352467187,0,,4.0,0.6732944559626048,6.696551863737085,-6.02325740777448
BUY,2020-07-12 00:00:00,2020-07-12 12:00:00,9272.47,9215.69,9272.47,0.0,,-0.6123503230530682,0,3.0,,3.528238308399523,1.967156957810458,1.5610813505890648
SELL,2020-07-12 12:00:00,2020-07-12 20:00:00,9215.69,9302.75,9215.69,,0.0,-0.9446932351240058,0,,2.0,-1.1146613560486003,2.272836828460058,-3.3874981845086585
BUY,2020-07-12 20:00:00,2020-07-13 20:00:00,9302.75,9242.62,9309.04,0.0676144150923208,,-0.6463680094595599,3,6.0,,9.364628785840978,2.5356560861569974,6.82897269968398
SELL,2020-07-13 20:00:00,2020-07-14 20:00:00,9242.62,9255.85,9181.01,,0.6665858814924834,-0.14314123051688332,2,,6.0,5.605624548721607,9.452387666718153,-3.846763117996545
BUY,2020-07-14 20:00:00,2020-07-15 00:00:00,9255.85,9234.85,9255.85,0.0,,-0.22688353851888265,0,1.0,,-1.3977614552404702,-1.5926143226425213,0.1948528674020511
SELL,2020-07-15 00:00:00,2020-07-17 16:00:00,9234.85,9164.75,9081.61,,1.6593664217610442,0.759081089568324,8,,16.0,-3.09790420578247,-1.8101449559132576,-1.2877592498692123
BUY,2020-07-17 16:00:00,2020-07-24 12:00:00,9164.75,9551.68,9603.27,4.7848550151395335,,4.221937314165693,37,41.0,,-31.935204188492207,-39.69799412017184,7.7627899316796345
SELL,2020-07-24 12:00:00,2020-07-25 16:00:00,9551.68,9674.14,9537.8,,0.14531475091293908,-1.282078126570395,2,,7.0,122.75509088359831,124.94246920671443,-2.1873783231161212
BUY,2020-07-25 16:00:00,2020-07-29 20:00:00,9674.14,11100.53,11204.59,15.820010874351631,,14.744359705358837,24,25.0,,114.4104629660651,113.99015350227279,0.42030946379230727
SELL,2020-07-29 20:00:00,2020-08-01 04:00:00,11100.53,11657.35,10926.03,,1.5719970127552467,-5.016156886202728,3,,14.0,495.55065010880935,524.8673508840618,-29.316700775252457
BUY,2020-08-01 04:00:00,2020-08-02 04:00:00,11657.35,11323.78,12000.0,2.93934727875546,,-2.8614565059812023,5,6.0,,383.79534069447436,348.4316692066616,35.36367148781278
SELL,2020-08-02 04:00:00,2020-08-05 08:00:00,11323.78,11438.06,11071.35,,2.229202616087563,-1.0092036404804652,4,,19.0,374.5396812154704,400.9365929939083,-26.396911778437868
BUY,2020-08-05 08:00:00,2020-08-07 12:00:00,11438.06,11641.7,11863.72,3.7214352783601403,,1.7803718462746414,8,13.0,,48.74924903820647,39.963653797731844,8.785595240474628
SELL,2020-08-07 12:00:00,2020-08-10 00:00:00,11641.7,12009.4,11489.0,,1.3116641040397943,-3.1584734188305736,1,,15.0,180.41695577782775,200.95261292769433,-20.53565714986658
BUY,2020-08-10 00:00:00,2020-08-11 04:00:00,12009.4,11748.05,12009.4,0.0,,-2.176211967292291,0,7.0,,110.61370000311581,89.24527165238577,21.368428350730042
SELL,2020-08-11 04:00:00,2020-08-13 20:00:00,11748.05,11780.0,11380.89,,3.1252846217031753,-0.27196002740881026,5,,16.0,90.28945783180097,110.7486762646455,-20.459218432844523
BUY,2020-08-13 20:00:00,2020-08-16 08:00:00,11780.0,11750.65,11928.99,1.2647707979626468,,-0.2491511035653681,13,15.0,,-2.596683300080258,-48.978299188075596,46.38161588799534
SELL,2020-08-16 08:00:00,2020-08-17 12:00:00,11750.65,12421.55,11750.65,,0.0,-5.709471390944327,0,,7.0,80.68749285952435,87.71446215146065,-7.026969291936297
BUY,2020-08-17 12:00:00,2020-08-18 12:00:00,12421.55,11934.41,12421.55,0.0,,-3.921732795021551,0,6.0,,185.59042911469442,93.52400391417413,92.06642520052029
SELL,2020-08-18 12:00:00,2020-08-21 00:00:00,11934.41,11866.58,11649.84,,2.3844496711609513,0.5683565421332092,7,,15.0,161.53954844952932,176.85811260191804,-15.318564152388717
BUY,2020-08-21 00:00:00,2020-08-21 08:00:00,11866.58,11715.61,11866.58,0.0,,-1.2722283926792668,0,2.0,,-28.155947836716223,-34.70021773487777,6.544269898161545
SELL,2020-08-21 08:00:00,2020-08-23 04:00:00,11715.61,11616.46,11474.02,,2.06212053832451,0.8463067650766921,4,,11.0,-48.72018105963434,-35.52141363963526,-13.19876741999908
BUY,2020-08-23 04:00:00,2020-08-23 08:00:00,11616.46,11526.53,11616.46,0.0,,-0.7741601141827931,0,1.0,,-98.61687969630657,-106.2496722770462,7.632792580739633
SELL,2020-08-23 08:00:00,2020-08-23 12:00:00,11526.53,11653.25,11526.53,,0.0,-1.0993768289328993,0,,1.0,-109.66660229673653,-106.73780513700196,-2.9287971597345717
BUY,2020-08-23 12:00:00,2020-08-25 08:00:00,11653.25,11614.44,11793.05,1.1996653294145347,,-0.333040139017008,5,11.0,,-87.60312032031288,-104.00427873461781,16.40115841430493
SELL,2020-08-25 08:00:00,2020-08-26 20:00:00,11614.44,11461.43,11294.0,,2.7589793395118534,1.3174117736197373,2,,9.0,-32.192044697247184,-25.18417499118296,-7.007869706064223
