timestamp,type,price,quantity,profit,return_pct
2022-03-23 12:00:00,BUY,42618.18,0.47087832525922624,0.0,0.0
2022-03-23 16:00:00,SELL,42216.79,0.47087832525922624,-189.00585097580054,-0.9418281118527337
2022-03-23 20:00:00,BUY,42882.76,0.463565576773054,0.0,0.0
2022-03-26 08:00:00,SELL,44334.49,0.463565576773054,672.9720547687438,3.3853464655726353
2022-03-27 20:00:00,BUY,46827.76,0.43888376099538373,0.0,0.0
2022-03-29 16:00:00,SELL,47701.49,0.43888376099538373,383.46590849449484,1.8658376996892354
2022-04-02 04:00:00,BUY,46584.49,0.44940728848343486,0.0,0.0
2022-04-02 20:00:00,SELL,45811.0,0.44940728848343486,-347.61204356905114,-1.6604024214926425
2022-04-03 12:00:00,BUY,46412.49,0.4435831236961136,0.0,0.0
2022-04-04 00:00:00,SELL,46005.44,0.4435831236961136,-180.5605105005011,-0.8770268520391724
2022-04-04 20:00:00,BUY,46580.51,0.4381067700249338,0.0,0.0
2022-04-05 16:00:00,SELL,46032.5,0.4381067700249338,-240.08689104136488,-1.1764791755178334
2022-04-08 04:00:00,BUY,43763.52,0.4608210192226943,0.0,0.0
2022-04-08 16:00:00,SELL,42730.84,0.4608210192226943,-475.8806501308921,-2.3596822193461593
2022-04-09 20:00:00,BUY,42753.97,0.4605717139494151,0.0,0.0
2022-04-11 08:00:00,SELL,41067.63,0.4605717139494151,-776.6805041014584,-3.944288682431137
2022-04-13 00:00:00,BUY,40076.05,0.47196739042246966,0.0,0.0
2022-04-18 00:00:00,SELL,39813.17,0.47196739042246966,-124.07078759426102,-0.6559528696066719
2022-04-18 16:00:00,BUY,40680.68,0.4619027496429793,0.0,0.0
2022-04-21 20:00:00,SELL,40480.01,0.4619027496429793,-92.69002477085584,-0.4932808399466239
2022-04-24 16:00:00,BUY,39703.74,0.47093366832886024,0.0,0.0
2022-04-25 00:00:00,SELL,39253.71,0.47093366832886024,-211.93427875803644,-1.1334700458949178
2022-04-25 16:00:00,BUY,40225.97,0.45955122140789306,0.0,0.0
2022-04-26 16:00:00,SELL,38270.03,0.45955122140789306,-898.8546160005554,-4.862381193045195
2022-04-27 20:00:00,BUY,39235.72,0.44824050711486135,0.0,0.0
2022-04-29 12:00:00,SELL,39004.86,0.44824050711486135,-103.48080347253715,-0.5883924138514613
2022-05-01 20:00:00,BUY,38468.35,0.4544920233476136,0.0,0.0
